ID,Cliente,Servicio,Monto Presupuestado,Monto Real,Estado,Fecha Planificada,Mes,Año
e8fb491f-f851-482a-a623-f2c0c6d53943,24 Quiro,Google Ads,98000.00,98000.00,collected,2026-03-01,3,2026
593c2352-e67d-4fbc-973e-b3170cd04570,24 Quiro,Google Bsn,98000.00,98000.00,collected,2026-03-01,3,2026
95f3cf5a-41e6-44de-a461-19dd87830984,Shell San Vicente,Meta,320000.00,320000.00,collected,2026-03-01,3,2026
02f0bc1f-36b7-42bd-9a83-9dbf89b15cc2,Shell Mosconi,Meta,320000.00,320000.00,collected,2026-03-01,3,2026
d7454417-9cb3-4266-b5b2-9f66294d70e0,Crystal,Google Bsn,60000.00,60000.00,collected,2026-03-01,3,2026
236a0b29-aada-420b-b2fd-33f12fcecd7f,Crystal,Meta,350000.00,350000.00,collected,2026-03-01,3,2026
cce68bbc-e037-47d2-ab65-b99cce8becad,Importfull,Meta,450000.00,450000.00,collected,2026-03-01,3,2026
181b3d67-9cd1-446d-9739-209115bcfe09,Importfull,Google Bsn,15000.00,15000.00,collected,2026-03-02,3,2026
9b9e184a-1045-4a9d-8bcc-36727954e9b4,Zamplin,Meta,350000.00,350000.00,collected,2026-03-05,3,2026
61ab3af3-e211-4070-9eae-3798a6e74d03,Altos Músicos,Meta,350000.00,350000.00,collected,2026-03-05,3,2026
f9159d39-c63e-4ce5-a3a9-f682fe45a4f1,Alma de Músicos,Meta,350000.00,350000.00,collected,2026-03-05,3,2026
1a91e4cc-9b0d-46e7-81bf-dcacec1423ff,Infinity,Meta,350000.00,350000.00,collected,2026-03-05,3,2026
5df62ad3-089e-403e-b5ab-58edc28d3203,Honda,Google Ads,15000.00,15000.00,collected,2026-03-10,3,2026
3b1d3375-78b0-46e7-aaca-79a4a568e507,Honda,Pagina Web Ecomerce,30000.00,30000.00,collected,2026-03-10,3,2026
6287d6f6-5276-4597-952b-2052a8161bad,Honda,Meta,210000.00,210000.00,collected,2026-03-10,3,2026
d373e344-c1e0-4ff5-9246-ceb3e183ef51,Limbox,Meta,450000.00,450000.00,collected,2026-03-10,3,2026
317f455f-6648-448a-850a-1c7511aab1e1,Limbox,Google Bsn,50000.00,50000.00,collected,2026-03-10,3,2026
e5642b13-fa13-42cd-a88d-efe694182ecc,Wollen,Meta,350000.00,0.00,pending,2026-03-10,3,2026
0635fbfc-aaef-40f2-b6e0-f9384ae1cde0,Zamplin,Google Ads,160000.00,160000.00,collected,2026-03-18,3,2026
1617496d-353f-4fed-b37a-15df89acf254,Zamplin,Google Bsn,112000.00,112000.00,collected,2026-03-18,3,2026
0d74940f-f40f-4309-ab3a-8bd01a0733e6,Wollen Cofico,Meta,350000.00,0.00,pending,2026-03-19,3,2026
7d913598-928d-4da8-ae8f-ab2152ee8ce9,Wollen Cofico,Google Bsn,50000.00,0.00,pending,2026-03-19,3,2026
3585cfa0-26a9-4203-bbab-565f011cfa92,Wollen,Data,230000.00,0.00,pending,2026-03-19,3,2026
b39c94fe-3caf-48ef-b167-00c0d092dcc4,Sanchez Antoniolli,Google Bsn,434000.00,0.00,pending,2026-03-20,3,2026
895d633d-ce0f-47b0-9250-9c4e25497c1b,QuiroProsalud,Google Ads,160000.00,0.00,pending,2026-03-20,3,2026
19a37a05-e963-4c42-8765-2148cc865322,Toro,Meta,400000.00,0.00,pending,2026-03-25,3,2026
545b874d-eda8-43d5-96ab-4049b2025259,Toro,Google Bsn,20000.00,0.00,pending,2026-03-25,3,2026
44261926-8094-46c3-9d66-a13b07fca1e9,Electro Alem,Google Bsn,115000.00,0.00,pending,2026-03-28,3,2026
