Fecha,ID,CLIENTE,INGRESOS,Estimado,ESTADO,Nombre,Pago Realizado,id_facturacion,cuit_emisor ,cuit_receptor
01/01/2026,FS01012026-c23-5ZVD,c23,45311,"$98,000.00",Transaccion completada,24 Quiro,08/01/2026,,,
01/01/2026,FS01012026-c23-K1Q3,c23,45892,"$98,000.00",Transaccion completada,24 Quiro,08/01/2026,,,
01/01/2026,FS01012026-c14-X1K5,c14,45413,"$320,000.00",Transaccion completada,Shell San Vicente,06/01/2026,,,
01/01/2026,FS01012026-c15-ZCJG,c15,45413,"$320,000.00",Transaccion completada,Axion,06/01/2026,,,
01/01/2026,FS01012026-c18-YYLE,c18,45413,"$320,000.00",Transaccion completada,Shell Mosconi,06/01/2026,,,
01/01/2026,FS01012026-c4-N83L,c4,45892,"$60,000.00",Transaccion completada,Crystal,06/01/2026,,,
01/01/2026,FS01012026-c4-E49F,c4,45413,"$350,000.00",Transaccion completada,Crystal,06/01/2026,,,
01/01/2026,FS01012026-c3-BI6Z,c3,45413,"$450,000.00",Transaccion completada,Import,09/01/2026,,,
01/01/2026,FS01012026-c3-N76Z,c3,45311,"$56,000.00",Transaccion completada,Import,09/01/2026,,,
01/01/2026,FS01012026-c3-5QCB,c3,45892,"$56,000.00",Transaccion completada,Import,09/01/2026,,,
01/01/2026,FS01012026-c3-0P7N,c3,45612,"$250,000.00",Transaccion completada,Import,09/01/2026,,,
01/01/2026,60ca72ed,C36,45413,"$450,000.00",Transaccion completada,Importfull,02/01/2026,,,
01/01/2026,d70b0095,C36,45892,"$15,000.00",Transaccion completada,Importfull,02/01/2026,,,
05/01/2026,FS05012026-c5-JPAW,c5,45413,"$350,000.00",Transaccion completada,Zamplin,14/01/2026,,,
05/01/2026,FS05012026-c7-E7ZJ,c7,45413,"$350,000.00",Transaccion completada,Altos Músicos,14/01/2026,,,
05/01/2026,FS05012026-c6-W79V,c6,45413,"$350,000.00",Transaccion completada,Alma de Músicos,14/01/2026,,,
05/01/2026,FS05012026-c8-143U,c8,45413,"$350,000.00",Transaccion completada,Infinity,14/01/2026,,,
10/01/2026,FS10012026-c10-AJ2F,c10,45311,"$15,000.00",Transaccion completada,Honda,14/01/2026,,,
10/01/2026,FS10012026-c10-DVZ2,c10,45900,"$30,000.00",Transaccion completada,Honda,14/01/2026,,,
10/01/2026,FS10012026-c10-J1V4,c10,45413,"$210,000.00",Transaccion completada,Honda,14/01/2026,,,
10/01/2026,FS10012026-c12-DOZO,c12,45413,"$450,000.00",Transaccion completada,Limbox,16/01/2026,,,
10/01/2026,FS10012026-c12-QCO8,c12,45892,"$50,000.00",Transaccion completada,Limbox,16/01/2026,,,
10/01/2026,FS10012026-c17-BYO3,c17,45413,"$350,000.00",Transaccion completada,Wollen,14/01/2026,,,
14/01/2026,3fe5ca5c,c37,45413,"$450,000.00",Transaccion completada,Import Mayorista,10/02/2026,,,
14/01/2026,08c245ca,c37,45892,"$50,000.00",Transaccion completada,Import Mayorista,10/02/2026,,,
18/01/2026,FS18012026-c5-PNCJ,c5,45311,"$160,000.00",Transaccion completada,Zamplin,24/01/2026,,,
18/01/2026,FS18012026-c5-2GLD,c5,45892,"$112,000.00",Transaccion completada,Zamplin,24/01/2026,,,
19/01/2026,FS19012026-c27-QT06,c27,45413,"$350,000.00",Transaccion completada,Wollen Cofico,07/02/2026,,,
19/01/2026,FS19012026-c27-EXMB,c27,45892,"$50,000.00",Transaccion completada,Wollen Cofico,07/02/2026,,,
20/01/2026,FS20012026-c20-9N3A,c20,45892,"$512,000.00",Transaccion completada,Sanchez Antoniolli,24/01/2026,,,
20/01/2026,FS20012026-c31-UVPU,c31,45311,"$160,000.00",Transaccion completada,QuiroProsalud,29/01/2026,,,
24/01/2026,248db926,c17,45897,"$230,000.00",Transaccion completada,Wollen,24/01/2026,,,
25/01/2026,FS25012026-c28-1YWH,c28,45413,"$400,000.00",Transaccion completada,Toro,07/02/2026,,,
25/01/2026,FS25012026-c28-93BB,c28,45892,"$20,000.00",Transaccion completada,Toro,07/02/2026,,,
28/01/2026,FS28012026-c21-4JHI,c21,45892,"$115,000.00",Transaccion completada,Electro Alem,02/02/2026,,,
29/01/2026,FS29012026-c34-NGP6,c34,45413,"$350,000.00",Transaccion completada,Gomeet,14/02/2026,,,
01/02/2026,FS01022026-c23-9FAA,c23,45311,"$98,000.00",Transaccion completada,24 Quiro,07/02/2026,,,
01/02/2026,FS01022026-c23-N6H0,c23,45892,"$98,000.00",Transaccion completada,24 Quiro,07/02/2026,,,
01/02/2026,FS01022026-c14-RSL7,c14,45413,"$320,000.00",Transaccion completada,Shell San Vicente,21/02/2026,,,
01/02/2026,FS01022026-c18-F0CZ,c18,45413,"$320,000.00",Transaccion completada,Shell Mosconi,21/02/2026,,,
01/02/2026,FS01022026-c4-K978,c4,45892,"$60,000.00",Transaccion completada,Crystal,07/02/2026,,,
01/02/2026,FS01022026-c4-DSNX,c4,45413,"$350,000.00",Transaccion completada,Crystal,07/02/2026,,,
01/02/2026,FS01022026-c3-Y6WV,c3,45413,"$450,000.00",Transaccion completada,Import,28/02/2026,,,
01/02/2026,FS01022026-c3-M366,c3,45311,"$56,000.00",Transaccion completada,Import,28/02/2026,,,
01/02/2026,FS01022026-c3-BVZA,c3,45892,"$56,000.00",Transaccion completada,Import,28/02/2026,,,
01/02/2026,FS01022026-c3-GI1S,c3,45612,"$250,000.00",Transaccion completada,Import,19/02/2026,,,
01/02/2026,FS01022026-C36-9V1M,C36,45413,"$450,000.00",Transaccion completada,Importfull,07/02/2026,,,
